Address,Type,Return,Description,Progress
$828B8B,Code,RTL,,
$828BAB,Code,RTL,,
$828BC2,Code,RTL,,
$828BD3,Code,RTL,,
$828C0D,Code,RTS,,
$828E79,Code,RTS,,
$828E91,Code,RTS,,
$828F47,Code,RTS,,
$828F6C,Code,RTS,,
$828F8E,Code,RTS,,
$82905E,Code,RTL,,
$8290B4,Code,RTL,,
$8290D0,Code,RTL,,
$829125,Code,RTL,,
$829219,Code,RTL,,
$829322,Code,RTL,,
$8293BF,Code,RTL,,
$82946D,Code,RTL,,
$829480,Code,RTL,,
$8294DE,Code,RTL,,
$829561,Code,RTL,,
$829595,Code,RTL,,
$8295B6,Code,RTL,,
$82960E,Code,RTL,,
$829642,Code,RTL,,
$829660,Code,RTL,,
$829698,Code,RTL,,
$8296D7,Code,RTS,,
$8296EA,Code,RTS,,
$829743,Code,RTS,,
$82977A,Code,RTS,,
$829914,Code,RTS,,
$829959,Code,RTS,,
$82995E,Code,RTS,,
$8299BB,Code,RTS,,
$8299DE,Code,RTS,,
$829A3D,Code,RTL,,
$829A7B,Code,RTL,,
$829B2D,Code,RTS,,
$829CCE,Code,RTS,,
$829CE6,Code,RTL,,
$829D9F,Code,RTS,,
$829E47,Code,RTL,,
$829F56,Code,RTS,,
$82A07C,Code,RTL,,
$82A0C1,Code,RTL,,
$82A187,Code,RTS,,
$82A23C,Code,RTS,,
$82A2C1,Code,RTS,,
$82A2D4,Code,RTS,,
$82A2E7,Code,RTS,,
$82A2EF,Code,RTS,,
$82A30C,Code,RTS,,
$82A31E,Code,RTS,,
$82A323,Code,RTS,,
$82A357,Code,RTS,,
$82A42D,Code,RTS,,
$82A559,Code,RTS,,
$82A6A2,Code,RTL,,
$82A725,Code,RTS,,
$82AB23,Code,RTL,,
$82ACF6,Code,RTS,,
$82AD09,Code,RTS,,
$82AD95,Code,RTS,,
$82AE8E,Code,RTL,,
$82AF05,Code,RTL,,
$82AF49,Code,RTL,,
$82AFB2,Code,RTS,,
$82B099,Code,RTL,,
$82B0E1,Code,RTL,,
$82B14B,Code,RTL,,
$82B31C,Code,RTL,,
$82B31F,Code,RTL,,
$82B42F,Code,RTL,,
$82B438,Code,RTL,,
$82B452,Code,RTL,,
$82B45B,Code,RTL,,
$82B622,Code,RTS,,
$82B770,Code,RTS,,
$82B7AB,Code,RTS,,
$82B7ED,Code,RTL,,
$82B808,Code,RTL,,
$82B81C,Code,RTL,,
$82B840,Code,RTL,,
$82B8A7,Code,RTL,,
$82B8B4,Code,RTL,,
$82B8D1,Code,RTL,,
$82B91D,Code,RTL,,
$82B931,Code,RTL,,
$82B940,Code,RTL,,
$82B985,Code,RTL,,
$82B994,Code,RTL,,
$82B9C3,Code,RTL,,
$82B9D6,Code,RTL,,
$82B9EC,Code,RTL,,
$82BA46,Code,RTS,,
$82BB70,Code,RTS,,
$82BB8D,Code,RTL,,
$82BBAC,Code,RTL,,
$82BBCB,Code,RTL,,
$82BC1B,Code,RTS,,
$82BC71,Code,RTS,,
$82BC8F,Code,RTS,,
$82BCC8,Code,RTL,,
$82BCF0,Code,RTS,,
$82BD49,Code,RTL,,
$82BD6A,Code,RTL,,
$82BD8B,Code,RTL,,
$82BDAC,Code,RTS,,
$82BDE5,Code,RTS,,
$82BE37,Code,RTS,,
$82BE73,Code,RTL,,
$82BE86,Code,RTL,,
$82BE90,Code,RTL,,
$82BEC6,Code,RTL,,
$82BED6,Code,RTL,,
$82BF55,Code,RTL,,
$82BFF4,Code,RTL,,
$82C09D,Code,RTL,,
$82C13A,Code,RTL,,
$82C1FE,Code,RTL,,
$82C270,Code,RTL,,
$82C27C,Code,RTL,,
$82C32F,Code,RTL,,
$82C3BD,Code,RTL,,
$82C3D1,Code,RTL,,
$82C3E8,Code,RTL,,
$82C51A,Code,RTS,,
$82C585,Code,RTL,,
$82C629,Code,RTL,,
$82C656,Code,RTL,,
$82C686,Code,RTL,,
$82C6AF,Code,RTL,,
$82C6DA,Code,RTL,,
$82C7D6,Code,RTL,,
$82C7E1,Code,RTL,,
$82C7EC,Code,RTS,,
$82C81E,Code,RTL,,
$82C828,Code,RTL,,
$82C82D,Code,RTL,,
$82C832,Code,RTL,,
